NIF,Filial propietaria directa,Inmuebles,Matriz,Sede empresa matriz,Sociedad intermedia utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Fuente 6,Fuente 7,Fuente 8
B86592441,FOROCOTA MADRID S.L,99,Grumman Retail Services SL,España,Grumman Retail Services SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2019/03/11/pdfs/BORME-A-2019-48-28.pdf,https://www.boe.es/borme/dias/2019/02/26/pdfs/BORME-A-2019-39-28.pdf,NA,NA,NA,NA,NA,NA
A50326453,"FUENCASTEL, S.A.",92,Fuencastel SA,España,Fuencastel SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B85807485,FUENTE LARIN ALQUILER S.L.U,227,Fuente Larin SL,España,Fuente Larin SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2023/03/10/pdfs/BORME-C-2023-865.pdf,NA,NA,NA,NA,NA,NA,NA
A28984912,"FUENTIDUEÑA,S.A.",66,Fuentidueña SA,España,Fuentidueña SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
G28433670,FUND. UNIVERSITARIA ESPAÑOLA,60,Fundación Universitaria Española,España,Fundación Universitaria Española,España,Fundaciones,NA,Fundaciones,Fundación universitaria,http://www.fuesp.com/legal_aviso.asp,NA,NA,NA,NA,NA,NA,NA
G28372308,FUNDACIÓN ALFONSO MARTÍN ESCUDERO,280,Fundación Alfonso Martín Escudero,España,Fundación Alfonso Martín Escudero,España,Fundaciones,NA,Fundaciones,NA,https://fundame.org/mision-y-vision/,NA,NA,NA,NA,NA,NA,NA
G13010681,FUNDACION ANTONIO RODRIGUEZ DOCAMPO,53,Fundación Antonio Rodríguez Docampo,España,Fundación Antonio Rodríguez Docampo,España,Fundaciones,NA,Fundaciones,Fundación sanitaria,https://www.hogardesantaisabel.es/residencia-de-mayores-hogar-de-santa-isabel-calzada-de-calatrava-quienes-somos.html,NA,NA,NA,NA,NA,NA,NA
G34012799,FUNDACION BENEFICA MONEDERO,216,Fundación Benéfica Monedero,España,Fundación Benéfica Monedero,España,Fundaciones,NA,Fundaciones,Geriátricos,NA,NA,NA,NA,NA,NA,NA,NA
G58008764,FUNDACION CARMEN Y Mª JOSE GODO,232,Fundació CMJ Godó,España,Fundació CMJ Godó,España,Fundaciones,NA,Fundaciones,Fundación social,https://www.fundaciocmjgodo.cat/es/origenes/,NA,NA,NA,NA,NA,NA,NA
G78577103,FUNDACIÓN CATALINA LABOURÉ,95,Fundación Catalina Labouré,España,Fundación Catalina Labouré,España,Fundaciones,NA,Fundaciones,NA,https://fundacioncatalinalaboure.es/,NA,NA,NA,NA,NA,NA,NA
G85122430,FUNDACIÓN FOMENTO HISPANIA,82,Fundación Fomento Hispania,España,Fundación Fomento Hispania,España,Fundaciones,NA,Fundaciones,Fundación social,https://www.boe.es/borme/dias/2015/03/23/pdfs/BORME-A-2015-55-28.pdf,NA,NA,NA,NA,NA,NA,NA
G83357335,FUNDACIÓN JORGE SANTAFÉ MAIBACH,74,Fundación Jorge Santafé Maibach,España,Fundación Jorge Santafé Maibach,España,Fundaciones,NA,Fundaciones,Fundación social,NA,NA,NA,NA,NA,NA,NA,NA
G86610144,FUNDACIÓN OBRA SOCIAL Y MONTE DE PIEDAD DE MADRID,56,Fundación Montemadrid,España,Fundación Montemadrid,España,Fundaciones,NA,Fundaciones,Fundación social,https://www.fundacionmontemadrid.es/quienes-somos/estructura-y-organizacion/,NA,NA,NA,NA,NA,NA,NA
G28435642,FUNDACION PEQUEÑOS PASOS,63,Fundación Pequeño Pasos,España,Fundación Pequeño Pasos,España,Fundaciones,NA,Fundaciones,Fundación social,NA,NA,NA,NA,NA,NA,NA,NA
A81354748,GABINETE DE ESTUDIOS Y GESTION JURIDICA S.A.,61,Banco Caminos,España,Banco Caminos,España,Empresa privada,NA,Entidades financieras,Banca,https://www.bancocaminos.es/documents/20486/383961/5.3+BC+CUENTAS+ANUALES+CONSOLIDADAS+2021+E+INFORME+DE+GESTI%C3%93N+052022.pdf/79671117-71e8-434f-9434-104e53c6eede,NA,NA,NA,NA,NA,NA,NA
A87430161,"GALIL CAPITAL RE SPAIN SOCIMI, S.A.",52,Galil Capital,España,Galil Capital,España,Socimi,NA,Inmobiliaria,NA,https://www.bmegrowth.es/docs/documentos/Otros/2018/11/05290_Folleto_20181114.pdf,https://www.galilcapital.es/,NA,NA,NA,NA,NA,NA
B87322939,GARDEN VELAZQUEZ ARRENDADORA DE INMUEBLES S.L.,54,Garden Velázqiez Arrendadora de Inmuebles SL,España,Garden Velázqiez Arrendadora de Inmuebles SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B82827643,"GESTION INMOBILIARIA CASTAÑOS 15, S.L.",61,Gestión Inmobiliaria Castaños 15 SL,España,Gestión Inmobiliaria Castaños 15 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87640843,"GLOBAL CARIHUELA PATRIMONIO COMERCIAL, S.L.U.",93,Merlin Properties Socimi SA,España,Merlin Properties Socimi SA,España,Socimi,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2019/07/04/pdfs/BORME-A-2019-126-28.pdf,NA,NA,NA,NA,NA,NA,NA
A88203542,GLOBAL LICATA SA,555,Cerberus,Estados Unidos,Cerberus Global Investments B.V.,Países Bajos,Empresa privada,NA,Entidades financieras,Fondos de inversión,https://corporate.haya.es/static/pdf/CONSO_Haya_2019_ES.pdf,NA,NA,NA,NA,NA,NA,NA
B42864306,"GLOBAL LUCANOR, SOCIMI S.L",222,DF Deutsche Finance Holding AG,Alemania,Heimdall Luxembourg Holdings SARL,Luxemburgo,Socimi,NA,Inmobiliaria,NA,https://www.niding.es/pdfs/Information_Document.pdf,https://civio.box.com/s/ncdmqqtqrqwjq5ek47c3n7p10hudkf5e,https://civio.box.com/s/0zr7ktny9uhosurf9rjd9zkvm2axgbwb,https://civio.box.com/s/5fy436c9bq5dl0fogw5km6kllejlnsmz,https://civio.box.com/s/7rhrnppla12dm1q3n0ww1s8xmckysywn,NA,NA,NA
B09724733,"GLOBAL MANZANA, S.L.U.",159,Grupo Allianz,Alemania,Allianz Finance IX Luxembourg SA,Luxemburgo,Soparfi,NA,Seguros,NA,https://www.boe.es/borme/dias/2022/03/31/pdfs/BORME-A-2022-63-28.pdf,https://www.boe.es/borme/dias/2022/03/31/pdfs/BORME-A-2022-63-28.pdf,https://www.bmegrowth.es/docs/documentos/OtraInfRelevante/2023/01/05356_OtraInfRelev_20230104.pdf,https://www.boe.es/borme/dias/2019/08/28/pdfs/BORME-A-2019-164-28.pdf,NA,NA,NA,NA
B88581236,"GLOBAL SAUCO SOCIMI, S.L.",69,DF Deutsche Finance Holding AG,Alemania,Heimdall Luxembourg Holdings SARL,Luxemburgo,Socimi,NA,Inmobiliaria,NA,https://www.niding.es/pdfs/Information_Document.pdf,https://civio.box.com/s/ncdmqqtqrqwjq5ek47c3n7p10hudkf5e,https://civio.box.com/s/0zr7ktny9uhosurf9rjd9zkvm2axgbwb,https://civio.box.com/s/5fy436c9bq5dl0fogw5km6kllejlnsmz,https://civio.box.com/s/7rhrnppla12dm1q3n0ww1s8xmckysywn,NA,NA,NA
A28396042,"GMP PROPERTY SOCIMI, S.A",173,GIC,Singapur,GMP,España,Socimi,NA,Inmobiliaria,NA,https://grupogmp.com/,https://www.boe.es/borme/dias/2015/06/09/pdfs/BORME-A-2015-106-28.pdf,NA,NA,NA,NA,NA,NA
A28033991,"GOHA FUTURO, S.L.",98,Gm Cordeu Holding SL,España,Gm Cordeu Holding SL,España,Empresa privada,NA,Entidades financieras,Compraventa de participaciones,https://www.boe.es/borme/dias/2015/11/02/pdfs/BORME-A-2015-209-28.pdf,NA,NA,NA,NA,NA,NA,NA
B82865395,GORBEA DE ARRENDAMIENTOS S.L.,62,Gorbea de Arrendamientos SL,España,Gorbea de Arrendamientos SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B88367727,"GRAMINA HOMES, S.L.",61,Lone Star,Estados Unidos,Lone Star Fund XI,Bermudas,Empresa privada,NA,Entidades financieras,Fondos de inversión,https://www.cnmv.es/AUDITA/2019/18307.pdf,NA,NA,NA,NA,NA,NA,NA
B78498755,"GREGORIA RIAZA, S.L.",153,Gregorio Riaza,España,Gregorio Riaza,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
W0038008I,GRES NEDERLAND COOPERATIEF U.A. SUCURSAL EN ESPAÑA,84,GRES Nederland Coöperatief UA,Países Bajos,GRES Nederland Coöperatief UA,Países Bajos,Cooperativa,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
E87097358,"GRUPANGEL, C.B.",62,Grupangel CB,España,Grupangel CB,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
B82222274,"GRUPO CLABO 79, S.L.",70,Grupo Clabo 79 SL,España,Grupo Clabo 79 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28964906,"GRUPO INMOBILIARIO DELTA, S.A.",61,Grupo Inmobiliario Delta SA,España,Grupo Inmobiliario Delta SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B02826451,"GRUPO PROMUR 63, S.L.",985,Grupo Promur 63 SL,España,Grupo Promur 63 SL,España,Empresa privada,NA,Construcción,NA,NA,NA,NA,NA,NA,NA,NA,NA
B58657941,"GRUPO SETHOME, S.L.",98,Grupo Sethome SL,España,Grupo Sethome SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2019/12/11/pdfs/BORME-A-2019-236-28.pdf,https://www.boe.es/borme/dias/2019/08/07/pdfs/BORME-A-2019-150-28.pdf,NA,NA,NA,NA,NA,NA
B79149027,"GRUPO SOPE, S.L.",124,Grupo Sope SL,España,Grupo Sope SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
E78173598,HDROS. DE CARMEN GUTIERREZ GARCIA Y J.GUTIERREZ GARCIA CB,50,Herederos de Carmen Gutiérrez García y J.Gutiérrez García CB,España,Herederos de Carmen Gutiérrez García y J.Gutiérrez García CB,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
B82323700,"HERCAS ARRENDAMIENTOS,S.L.",64,Hercas Arrendamientos SL,España,Hercas Arrendamientos SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
E78124302,HEREDEROS DE Mª ESTRELLA CERDEIRA SORIANO,194,Herederos de Mª Estrella Cerdeira Soriano,España,Herederos de Mª Estrella Cerdeira Soriano,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
V28306678,HERMANDAD NACIONAL ARQUITECTOS SUPERIORES Y QUÍMICOS,126,Grupo HNA,España,Hermandad Nacional Arquitectos Superiores y Químicos,España,Empresa privada,NA,Seguros,NA,https://www.hna.es/aviso-legal,NA,NA,NA,NA,NA,NA,NA
A42000802,"HERMANOS REVILLA, S.A.",201,FCC,España,Realia,España,Empresa privada,NA,Inmobiliaria,NA,"https://www.realia.es/uploads/accionistas_inversores/informacion_economico_financiera/Informes_Anuales/Informe%20y%20Estados%20Financieros%20Consolidados%20Realia%20Business,%20S.A.%202022.pdf",NA,NA,NA,NA,NA,NA,NA
B28026680,HERMES S.L. SERV.INM. Y GRALES,124,Hermes SL de Servicios Inmobiliarios y Generales,España,Hermes SL de Servicios Inmobiliarios y Generales,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87926655,"HESTIA TORRELODONES, S.L.",171,Tectum Real Estate Investments SL,España,Tectum Real Estate Investments SL,España,Empresa privada,NA,Consultoría,NA,https://www.boe.es/borme/dias/2021/06/08/pdfs/BORME-A-2021-107-28.pdf,https://www.boe.es/borme/dias/2019/05/07/pdfs/BORME-A-2019-85-28.pdf,https://www.boe.es/borme/dias/2018/11/30/pdfs/BORME-A-2018-230-28.pdf,https://www.boe.es/borme/dias/2017/12/11/pdfs/BORME-A-2017-233-28.pdf,https://www.boe.es/borme/dias/2017/11/29/pdfs/BORME-A-2017-227-28.pdf,NA,NA,NA
B28085314,"HICE, S.L.",51,Hice SL,España,Hice SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B28324523,"HIJES, S.L.",72,Hijes SL,España,Hijes SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28260073,"HOTELES E INMUEBLES, S.A.",130,Hoteles e Inmuebles SA,España,Hoteles e Inmuebles SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
E84729284,"IGLESIAS DE GUISASOLA, C.B.",96,Iglesias de Guisasola CB,España,Iglesias de Guisasola CB,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
B87698841,IKASA,210,Ikasa,España,Ikasa,España,Empresa privada,NA,Inmobiliaria,NA,https://ikasa.es/politica-de-privacidad,NA,NA,NA,NA,NA,NA,NA
B87698866,IKASA ACTIVIDAD DE PATRIMONIO TERCIARIO,72,Ikasa,España,Ikasa Actividad de Patrimonio Terciario,España,Empresa privada,NA,Inmobiliaria,NA,https://ikasa.es/politica-de-privacidad,NA,NA,NA,NA,NA,NA,NA
A28342426,"INFINORSA GESTION INMOBILIARIA-FINANCIERA, S.A.",81,Infinorsa Gestión Inmobiliaria y Financiera SA,España,Infinorsa Gestión Inmobiliaria y Financiera SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B63343230,"INMO CRITERIA ARRENDAMIENTO II, S.L.U.",184,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2017/10/23/pdfs/BORME-A-2017-202-08.pdf,NA,NA,NA,NA,NA,NA,NA
B63343172,"INMO CRITERIA ARRENDAMIENTO III, S.L.U.",534,CaixaBank,España,Criteria Caixacorp SA,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2021/08/04/pdfs/BORME-A-2021-148-08.pdf,https://www.boe.es/borme/dias/2018/08/02/pdfs/BORME-A-2018-148-08.pdf,https://www.criteriacaixa.com/,https://www.caixabank.com/StaticFiles/pdfs/110127_NP_Criteria_AcuerdoMarco_es.pdf,NA,NA,NA,NA
B63343214,INMO CRITERIA ARRENDAMIENTO S.L.U,132,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2018/08/02/pdfs/BORME-A-2018-148-08.pdf,https://www.boe.es/borme/dias/2017/10/17/pdfs/BORME-A-2017-198-08.pdf,https://www.boe.es/borme/dias/2017/10/17/pdfs/BORME-A-2017-198-08.pdf,https://www.boe.es/borme/dias/2015/05/29/pdfs/BORME-A-2015-100-08.pdf,https://www.boe.es/borme/dias/2013/12/30/pdfs/BORME-A-2013-248-08.pdf,NA,NA,NA
B67300533,"INMO CRITERIA PATRIMONIO, S.L.U.",351,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2018/12/10/pdfs/BORME-A-2018-235-08.pdf,https://www.criteriacaixa.com/politica-de-privacidad/,NA,NA,NA,NA,NA,NA
B79000832,INMOAN S.L.,79,Inmoan SL,España,Inmoan SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B81969529,INMOB. HNOS. MARTIN-MALDONADO MARTIN S.L.,52,Inmobiliaria Hermanos Martín-Maldonado Martín SL,España,Inmobiliaria Hermanos Martín-Maldonado Martín SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28428340,"INMOBILARIA MAIQUEZ, S.A.",57,Inmobiliaria Maiquez SA,España,Inmobiliaria Maiquez SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28255701,INMOBILIARIA ATAZAR S.A.,176,Adenara SL,España,Adenara SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2022/01/12/pdfs/BORME-A-2022-7-28.pdf,NA,NA,NA,NA,NA,NA,NA
A28027399,"INMOBILIARIA COLONIAL SOCIMI, S.A.",258,Grupo Colonial,España,Grupo Colonial,España,Socimi,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2017/03/01/pdfs/BORME-A-2017-42-28.pdf,https://www.inmocolonial.com/,NA,NA,NA,NA,NA,NA
A28315034,"INMOBILIARIA DAGANZO, S.A.",421,Inmobiliaria Daganzo SA,España,Inmobiliaria Daganzo SA,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2022/01/19/pdfs/BORME-A-2022-12-28.pdf,NA,NA,NA,NA,NA,NA,NA
B82820556,"INMOBILIARIA DE PROYECTOS Y CONSTRUCCIONES PÉREZ PILLADO, S.L.",61,Inmobiliaria de Proyectos y Construcciones Pérez Pillado SL,España,Inmobiliaria de Proyectos y Construcciones Pérez Pillado SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B28917102,INMOBILIARIA EGIDO S.L.,209,Grupo Egido,España,Grupo Egido,España,Empresa privada,NA,Construcción,NA,https://www.grupoegido.es/areas-de-negocio/,NA,NA,NA,NA,NA,NA,NA
A28917102,"INMOBILIARIA EGIDO, S.A.",76,Grupo Egido,España,Grupo Egido,España,Empresa privada,NA,Construcción,NA,https://www.grupoegido.es/areas-de-negocio/,NA,NA,NA,NA,NA,NA,NA
A28262400,"INMOBILIARIA HIPEPAS, S.A.",82,Inmobiliaria Hipepas SA,España,Inmobiliaria Hipepas SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28032852,"INMOBILIARIA HISPANA, S.A.",396,"Inmobiliaria Hispana, SA",España,"Inmobiliaria Hispana, SA",España,Empresa privada,NA,Inmobiliaria,NA,http://www.inmobiliariahispana.com/Contacto.aspx,NA,NA,NA,NA,NA,NA,NA
A28033215,"INMOBILIARIA ISAR, S.A.",130,Inmobiliaria Isar SA,España,Inmobiliaria Isar SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A78143914,"INMOBILIARIA LORENA, S.A.",142,Inmobiliaria Lorena SA,España,Inmobiliaria Lorena SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28254399,INMOBILIARIA LOZOYA S.A.,466,Grupo Lozoya,España,INMOBILIARIA LOZOYA S.A.,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28316628,"INMOBILIARIA MORATA, S.A.U.",582,Blismuac SL,España,Mediterranean Search SL,España,Empresa privada,NA,Inmobiliaria,NA,https://civio.box.com/s/nbqcibe2mhxs0i4wg7nckx99npio59z6,NA,NA,NA,NA,NA,NA,NA
B82350463,INMOBILIARIA NUEVA CHARRA S.L.,193,Inmobiliaria Nueva Charra,España,Inmobiliaria Nueva Charra,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B28010684,INMOBILIARIA PARDIÑAS,83,Inmobiliaria Pardiñas,España,Inmobiliaria Pardiñas,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B28079192,"INMOBILIARIA SANDI, S.L.",723,Inmobiliaria Sandi,España,Inmobiliaria Sandi,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28241610,"INMOBILIARIA TAJUÑA, S.A.",660,Adenara SL,España,Adenara SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2021/04/13/pdfs/BORME-A-2021-68-28.pdf,https://www.boe.es/borme/dias/2016/07/08/pdfs/BORME-A-2016-130-28.pdf,NA,NA,NA,NA,NA,NA
B84898568,"INMOBILIARIA TEC MOLA, S.L.",89,Inmobiliaria Tec Mola SL,España,Inmobiliaria Tec Mola SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28023422,"INMOBILIARIA URBANA DAFOR, S.A.",83,Inmobiliaria Urbana Dafor SA,España,Inmobiliaria Urbana Dafor SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28032159,"INMOBILIARIA URBANA TORRADEL, S.A.",140,Inmobiliaria Urbana Torradel SA,España,Inmobiliaria Urbana Torradel SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
E79067120,"INMOBIRENT ARAGÓN, S.A. Y OTROS C.B.",64,Inmobirent Aragón SA y otros CB,España,Inmobirent Aragón SA y otros CB,España,"Comunidad de bienes, de propietarios y herencias yacentes",NA,"Comunidad de bienes, de propietarios y herencias yacentes",NA,NA,NA,NA,NA,NA,NA,NA,NA
B83704643,"INMODOMOS, S.L.",111,Inmodomos SL,España,Inmodomos SL,España,Empresa privada,NA,Construcción,NA,NA,NA,NA,NA,NA,NA,NA,NA
B78614351,INMOFER S.L.,68,Inmofer SL,España,Inmofer SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B83088641,"INMOUNO RESIDENCIAL, S.L. UNIPERSONAL",87,Inmunio Residencial SL,España,Inmunio Residencial SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B85473841,INMUEBLES FASER S.L.,60,Inmuebles Faser SL,España,Inmuebles Faser SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B83498782,INMUEBLES MARTINEZ POMARES S.L.,56,Inmuebles Martínez Pomares SL,España,Inmuebles Martínez Pomares SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28055671,"INMUEBLES REGINA, S.A.",60,Inmuebles Regina SA,España,Inmuebles Regina SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A79011847,INSTITUTO MUNICIPAL DE SUELO MÓSTOLES,81,Ayuntamiento de Móstoles,España,INSTITUTO MUNICIPAL DE SUELO MÓSTOLES,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
A87858908,INVERSA PRIME SOCIMI S.A.,128,Almagro Capital,España,Almagro Capital,España,Socimi,NA,Inmobiliaria,NA,https://almagrocapital.com/blog-1,NA,NA,NA,NA,NA,NA,NA
B81876963,INVERSIONES 2000 TRES S.L.,83,Inversiones 2000 Tres SL,España,Inversiones 2000 Tres SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A82195058,"INVERSIONES DOALCA SOCIMI, S.A.",64,Inversiones Doalca Socimi,España,Inversiones Doalca Socimi,España,Socimi,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2015/11/02/pdfs/BORME-A-2015-209-28.pdf,NA,NA,NA,NA,NA,NA,NA
A85527604,"INVERSIONES INMOBILIARIAS CANVIVES, S.A.",85,Blackstone,Estados Unidos,Quasar Investment SARL,Luxemburgo,Soparfi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2018/07/11/pdfs/BORME-A-2018-132-28.pdf,https://www.boe.es/borme/dias/2018/03/06/pdfs/BORME-A-2018-46-28.pdf,https://www.boe.es/borme/dias/2017/12/28/pdfs/BORME-A-2017-245-28.pdf,https://civio.box.com/s/1xocxx8wdeu142zfz8wskwtgptg5kv2f,https://civio.box.com/s/e3ktln37mwtu3kysxac77togvgcjy4fs,https://civio.box.com/s/u29v8xq7xfrr5yucg4231hur9zmhfvn7,NA,NA
B83500603,INVERSIONES INMOBILIARIAS CRE S.L.,52,Inversiones Inmobiliarias Cre SL,España,Inversiones Inmobiliarias Cre SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B87703260,"INVERSIONES INMOBILIARIAS LIMARA, S.L.",76,Blackstone,Estados Unidos,Columbus Investment SARL,Luxemburgo,Soparfi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2018/11/16/pdfs/BORME-A-2018-220-08.pdf,https://www.boe.es/borme/dias/2018/04/11/pdfs/BORME-A-2018-70-08.pdf,https://www.boe.es/borme/dias/2018/02/27/pdfs/BORME-A-2018-41-08.pdf,https://www.boe.es/borme/dias/2017/12/29/pdfs/BORME-A-2017-246-08.pdf,https://www.boe.es/borme/dias/2014/06/12/pdfs/BORME-A-2014-110-28.pdf,https://www.boe.es/borme/dias/2014/04/11/pdfs/BORME-A-2014-71-28.pdf,https://civio.box.com/s/3biqa583xzz91vdgwp0xyennu7tcgp98,https://civio.box.com/s/o0d4yarehtbqgk7fk5rhrboxgbij6czh
B87619698,"INVERSIONES ODONTOLÓGICAS 2016, S.L.U.",76,Advent International Corporation,Estados Unidos,AI Calcium (Luxembourg) SARL,Luxemburgo,Soparfi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2019/10/28/pdfs/BORME-A-2019-207-28.pdf,https://www.boe.es/borme/dias/2019/09/18/pdfs/BORME-A-2019-179-28.pdf,https://www.boe.es/borme/dias/2019/10/16/pdfs/BORME-A-2019-199-28.pdf,https://www.asociacionpoliteia.es/wp-content/uploads/2022/01/ACUERDO-VITALDENT_POLITEIA-FIRMADO.pdf,https://www.sebi.gov.in/sebi_data/commondocs/cromptondps_p.pdf,https://www.cnmc.es/sites/default/files/2632672_0.pdf,NA,NA
B80270051,"INVERSIONES PEDROÑA, S.L.",121,Inversiones Pedroña,España,Inversiones Pedroña,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B82038605,"INVERSIONES Y PATRIMONIO CASTELLANA, S.L.",54,Inversiones y Patrimonio Castellana SL,España,Inversiones y Patrimonio Castellana SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B84935014,"INVERSIONES Y PROMOCIONES GILARRANZ, S.L.",77,Inversiones y Promociones Gilarranz SL,España,Inversiones y Promociones Gilarranz SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
B82029364,IRIS TRADOR S.L.,56,Iris Trador SL,España,Iris Trador SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A28073591,"IRLASA, S.A.",51,Irlasa SA,España,Irlasa SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
A78663671,"ISAAC GONZALEZ, S.A",69,Isaac González SA,España,Isaac González SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
