nr,commission_representative,portfolio,date,location,subject(s)-edited,lobbyist,health_meeting_or_lab,,,
32,"Günther Oettinger, Commissioner",Digital Economy and Society,6/05/2015,Brussels,Digitalisierung der Industrie,Bayer AG,TRUE,,,
33,"Robert-Jan Smits, Director-General",Director-General of Research and Innovation(RTD),6/05/2015,"Brussels, Director- General's office",Innovation in Europe,Bayer AG,TRUE,,,
34,"Carl-Christian Buhr, Cabinet member of Phil Hogan",Agriculture & Rural Development,2/03/2015,"Brussels, Belgium","Presentation of Bayer's activities in data science (""big data on the fields""), presentation of relevant Horizon 2020 R&D&I support areas",Bayer AG,TRUE,,,
35,"Robert Madelin, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",12/02/2015,Brussels,"Digital Single Market, Innovation",Bayer AG,TRUE,,,
36,"Tom Tynan, Cabinet member of Phil Hogan",Agriculture & Rural Development,12/02/2015,Brussels,"Core fields of activity of Bayer CropScience, Key regulatory framework, concerns regarding the implementation of the Plant Protection Products Regulation 1107 /2009 and the Maximum Residues Level Regulation 396 /2005, impact of EU regulations on trade in agricultural products and product availability for farmers, impact",Bayer AG,TRUE,,,
1,"Stefanie Hiesinger, Cabinet member of Frans Timmermans",European Green Deal,11/02/2021,video conference,The EU hydrogen strategy in implementation — How do we join forces?,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
2,"Kadri Simson, Commissioner;Kitti Nyitrai, Cabinet member of Kadri Simson",Energy,5/03/2020,Brussels,"European Green Deal, off-shore renewable energy, renovation, smart sector integration, hydrogen",BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
3,"Ditte Juul Jørgensen, Director-General",Director-General of Energy(ENER),27/11/2019,Brussels,Priorities in the Energy sector in the context of the Green Deal,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
4,"Kilian Gross, Cabinet member of Günther Oettinger",Budget & Human Resources,15/10/2019,Brussels,Climate and Energy Policy,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
5,"Dominique Ristori, Director-General",Director-General of Energy(ENER),10/10/2018,"Berlin, Germany",security of electricity supply,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
6,"Bernd Biervert, Cabinet member of Maroš Šefčovič",Energy Union,18/09/2018,Brussels,State of play Clean Energy Package,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
7,"Miguel Arias Cañete, Commissioner",Climate Action & Energy,20/11/2017,Brussels,clean energy package,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
8,"Bernd Biervert, Cabinet member of Maroš Šefčovič",Energy Union,13/11/2017,Brussels,Preparation BDEW Congress June 2018,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
9,"Maria Cristina Lobillo Borrero, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,7/07/2017,Brussels,Commissioner's participation at the Annual BDEW high level Diner in November,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
10,"Dominique Ristori, Director-General",Director-General of Energy(ENER),23/02/2017,"Berlin, Germany",Energy policy,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
11,"Margrethe Vestager, Commissioner",Competition,28/11/2016,"Brussels, Belgium",Energy Union and State aid in the area of energy,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
12,"Miguel Arias Cañete, Commissioner",Climate Action & Energy,28/11/2016,Brussels,Electricity market design,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
13,"Soren Schonberg, Cabinet member of Margrethe Vestager",Competition,4/11/2016,"Brussels, Belgium",EU Energy Union,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
14,"Bernd Biervert, Cabinet member of Maroš Šefčovič",Energy Union,12/10/2016,Brussels,Discussion on next Energy Union package,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
15,"Dominique Ristori, Director-General",Director-General of Energy(ENER),5/10/2016,"Brussels, Belgium",Energy policy,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
16,"Günther Oettinger, Commissioner",Digital Economy and Society,12/07/2016,Brussels,energy/climate policy,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
17,"Maria Cristina Lobillo Borrero, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,3/03/2016,Brussels,Electricity market design,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
18,"Bernd Biervert, Cabinet member of Maroš Šefčovič;Maroš Šefčovič, Vice-President",Energy Union,16/11/2015,Brussels,"State of play of the Energy Union report, electricity market design, COP21 preparations",BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
19,"Lee Foulger, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",12/11/2015,Brussels,Joint mtg energy assoc/Markets in Financial Instruments Directive II,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
20,"Joachim Balke, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,13/10/2015,Brussels,Internal Energy Market,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
21,"Bernd Biervert, Cabinet member of Maroš Šefčovič",Energy Union,30/09/2015,Brussels,Preperation Annual BDEW Congress 2016,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
22,"Joachim Balke, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,23/07/2015,Brussels,Market Design,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
23,"Bernd Biervert, Cabinet member of Maroš Šefčovič",Energy Union,21/05/2015,Brussels,Preperation Annual BDEW Congress 2015,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
24,"Günther Oettinger, Commissioner",Digital Economy and Society,16/02/2015,Berlin,"Neue Aufgabe als Kommissar, Verbindung zu Themen Energie- und Wasserwirtschaft",BDEW Bundesverband der Energie- und Wasserwirtschaft e. V. (BDEW),FALSE,,,
1,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",6/02/2019,BERL,Artificial intelligence,Bertelsmann Stiftung,FALSE,,,
2,"Marie Frenay, Cabinet member of Andrus Ansip",Digital Single Market,6/02/2019,Brussels,"Artificial Intelligence, Transparency of Algorithms, Fight against Disinformation",Bertelsmann Stiftung,FALSE,,,
3,"Ruth Paserman, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",29/10/2018,Bratislava,Regional forum for social and economic policy,Bertelsmann Stiftung,FALSE,,,
4,"Antoine Colombani, Cabinet member of Frans Timmermans","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights",17/10/2018,Brussels,European Citizens Initiative reform,Bertelsmann Stiftung,FALSE,,,
5,"Martin Selmayr, Director-General",Secretary-General of Secretariat- General(SG),18/09/2018,"Berlin, Germany",Future of EU and the State of the Union speech of President Juncker,Bertelsmann Stiftung,FALSE,,,
6,"Themis Christophidou, Director-General","Director-General of Education, Youth, Sport and Culture(EAC)",13/07/2018,Brussels,Future and sustainability of U- Multirank,Bertelsmann Stiftung,FALSE,,,
7,"Vasiliki Kokkori, Cabinet member of Marianne Thyssen;Piet van Nuffel, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",17/05/2018,Brussels,Future of Work,Bertelsmann Stiftung,FALSE,,,
8,"Manuel Mateo-Goyet, Cabinet member of Mariya Gabriel",Digital Economy and Society,16/05/2018,Brussels,Digital skills,Bertelsmann Stiftung,FALSE,,,
9,"Vasiliki Kokkori, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",27/03/2018,BERL,Pressing challenges for European labour markets and recent government reactions,Bertelsmann Stiftung,FALSE,,,
10,"Xavier Prats Monné, Director-General",Director-General of Health and Food Safety (SANTE),15/11/2017,Brussels,Discussion on digitization of Healthcare,Bertelsmann Stiftung,TRUE,,,
11,"Günther Oettinger, Commissioner",Budget & Human Resources,11/07/2017,Brussels,Europathemen,Bertelsmann Stiftung,FALSE,,,
12,"Ruth Paserman, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",29/03/2017,BERL 10/411,Bertelsmann Stiftung’s EU Reform Barometer.,Bertelsmann Stiftung,FALSE,,,
13,"Nils Behrndt, Cabinet member of Neven Mimica",International Cooperation & Development,29/03/2017,Brussels,July 2016 Global Report on the SDG index & dashboards,Bertelsmann Stiftung,FALSE,,,
14,"Günther Oettinger, Commissioner",Budget & Human Resources,28/03/2017,Brussels,aktuelle europapolitische Aspekte,Bertelsmann Stiftung,FALSE,,,
15,"Clara Martinez Alberola, Cabinet member of Jean-Claude Juncker;Luc Tholoniat, Cabinet member of Jean-Claude Juncker;Martin Selmayr, Cabinet member of Jean-Claude Juncker",President,27/02/2017,"Brussels, Belgium","EPSC High Level Policy lunch : The Future of Europe, Charting a New Course at a Critical Moment",Bertelsmann Stiftung,FALSE,,,
16,"Andrus Ansip, Vice-President;Aare Järvan, Cabinet member of Andrus Ansip",Digital Single Market,18/01/2017,Davos,"Privacy, artificial intelligence",Bertelsmann Stiftung,FALSE,,,
17,"Massimo Suardi, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",10/03/2016,Brussels,The Future of the euro: more discipline for more solidarity?,Bertelsmann Stiftung,FALSE,,,
18,"Xavier Prats Monné, Director-General",Director-General of Health and Food Safety (SANTE),19/02/2016,Brussels,Presenting the programme 'improving healthcare – informing patients' and discussion on health systems and policies,Bertelsmann Stiftung,TRUE,,,
19,"Ruth Paserman, Cabinet member of Marianne Thyssen;Vasiliki Kokkori, Cabinet member of Marianne Thyssen;Stefaan Hermans, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",16/02/2016,"Brussels, Belgium",Follow up on Vision Europe Summit (VES) 2015,Bertelsmann Stiftung,FALSE,,,
20,"Nils Behrndt, Cabinet member of Neven Mimica",International Cooperation & Development,4/02/2016,"Brussels, Belgium",Good governance in developing countries and Bertelsmann- Transformation- Index,Bertelsmann Stiftung,FALSE,,,
21,"Michel Servoz, Director-General","Director-General of Employment, Social Affairs and Inclusion(EMPL)",9/11/2015,Brussels,Inequality and current social issues,Bertelsmann Stiftung,FALSE,,,
22,"Alfred Matthias Ruete, Director-General",Director-General of Migration and Home Affairs (HOME),9/11/2015,"Brussels, Belgium",Intergration of Refugees into the Labour Market,Bertelsmann Stiftung,FALSE,,,
23,"Ann Mettler, Director-General","Director-General of Inspire, Debate, Engage and Accelerate Action (IDEA)",2/07/2015,Berlaymont,Meeting with Senior Manager,Bertelsmann Stiftung,FALSE,,,
24,"Frans Timmermans, First Vice-President;Alice Richard, Cabinet member of Frans Timmermans","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights",17/06/2015,Brussels,New Pact for Europe 2015 event - keynote speech,Bertelsmann Stiftung,FALSE,,,
25,"Marianne Thyssen, Commissioner;Inge Bernaerts, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",14/04/2015,Brussels,EU employment and social policy,Bertelsmann Stiftung,FALSE,,,
26,"Ann Mettler, Director-General","Director-General of Inspire, Debate, Engage and Accelerate Action (IDEA)",14/04/2015,Berlaymont,Meeting with Bertelsmann Stiftung CEO,Bertelsmann Stiftung,FALSE,,,
27,"Christian Burgsmueller, Cabinet member of Cecilia Malmström",Trade,5/03/2015,Brussels,TTIP,Bertelsmann Stiftung,FALSE,,,
28,"Reinhard Felke, Cabinet member of Pierre Moscovici","Economic and Financial Affairs, Taxation and Customs",4/03/2015,"Martin's Hotel, Bruxelles",Presentation of pilot study on the future of Economic and Monetary Union,Bertelsmann Stiftung,FALSE,,,
29,"Massimo Suardi, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",4/03/2015,Hotel Martin's Brussels EU,Presentation of pilot study on the future of Economic and Monetary Union (Bertelsmann Stiftung und Jacques Delors Institut Berlin),Bertelsmann Stiftung,FALSE,,,
30,"Reinhard Felke, Cabinet member of Pierre Moscovici","Economic and Financial Affairs, Taxation and Customs",4/03/2015,Brussels,Presentation of pilot study on the future of Economic and Monetary Union,Bertelsmann Stiftung,FALSE,,,
31,"Colin Scicluna, Cabinet member of Johannes Hahn",European Neighbourhood Policy & Enlargement Negotiations,11/02/2015,Brussels,informations on ENP conference Tunis,Bertelsmann Stiftung,FALSE,,,
1,"Ursula von der Leyen, President",President,31/01/2021,Videoconference,Meeting with CEOs of the pharmaceutical companies with which the Commission has signed Advance Purchase Agreements,BioNTech SE,TRUE,,,
1,"Christoph Nerlich, Cabinet member of Nicolas Schmit;Anouk Faber, Cabinet member of Nicolas Schmit;Nicolas Schmit, Commissioner",Jobs and Social Rights,16/02/2021,Videoconference,Pact for Skills roundtable with the representatives of the health sector.,Boehringer Ingelheim,TRUE,,,
2,"Eszter Batta, Cabinet member of Thierry Breton;Thierry Breton, Commissioner;Agnieszka Skonieczna, Cabinet member of Thierry Breton",Internal Market,16/02/2021,Videoconference,Pact for Skills roundtable with the representatives of the health sector,Boehringer Ingelheim,TRUE,,,
3,"Günther Oettinger, Commissioner",Budget & Human Resources,27/11/2018,Brussels,MFF,Boehringer Ingelheim,TRUE,,,
4,"Maria Asenius, Cabinet member of Cecilia Malmström;Miguel Ceballos Baron, Cabinet member of Cecilia Malmström",Trade,19/11/2015,Brussels,TTIP,Boehringer Ingelheim,TRUE,,,
1,"Mathieu Briens, Cabinet member of Christos Stylianides;Sohail Luka, Cabinet member of Christos Stylianides",Humanitarian Aid & Crisis Management,4/12/2018,Brussels,Situation in Syria,Brot für die Welt (BfdW),FALSE,,,
2,"Nils Behrndt, Cabinet member of Neven Mimica",International Cooperation & Development,16/05/2018,Brussels,Development work in Syria and the link to humanitarian action,Brot für die Welt (BfdW),FALSE,,,
3,"Nils Behrndt, Cabinet member of Neven Mimica",International Cooperation & Development,2/05/2018,Brussels,"Work of Brot für die Welt in Africa, MFF",Brot für die Welt (BfdW),FALSE,,,
1,"John Berrigan, Director-General","Director-General of Financial Stability, Financial Services and Capital Markets Union(FISMA)",17/02/2021,Virtual meeting,Basel III,Bund deutscher Baumschulen (BdB),FALSE,,,
2,"John Berrigan, Director-General","Director-General of Financial Stability, Financial Services and Capital Markets Union(FISMA)",12/11/2020,Virtual meeting,Key topics for the banking sector and the economic recovery,Bund deutscher Baumschulen (BdB),FALSE,,,
1,"Lucrezia Busa, Cabinet member of Didier Reynders",Justice,8/09/2020,video conference,sustainable corporate governance,Bundesarbeitgeberverband Chemie e.V. (BAVC),FALSE,,,
2,"Ruth Paserman, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",26/01/2017,BERL 10/390,Provisions by the European Commission for the European pillar of social rights and contribution to the public consultation.,Bundesarbeitgeberverband Chemie e.V. (BAVC),FALSE,,,
3,"Christian Linder, Cabinet member of Maroš Šefčovič",Energy Union,11/09/2015,Brussels,Energy Union Strategy with a forward-looking climate policy,Bundesarbeitgeberverband Chemie e.V. (BAVC),FALSE,,,
1,"Günther Oettinger, Commissioner",Budget & Human Resources,4/09/2018,Brussels,MFF / Budget,Bundesarbeitsgemeinschaft der Freien Wohlfahrtspflege e.V. (BAGFW),FALSE,,,
2,"Paraskevi Michou, Director-General",Director-General of Migration and Home Affairs (HOME),4/09/2018,Brussels,The future of the EU refugee policy from the Commission's point of view,Bundesarbeitsgemeinschaft der Freien Wohlfahrtspflege e.V. (BAGFW),FALSE,,,
3,"Vasiliki Kokkori, Cabinet member of Marianne Thyssen;Stefaan Hermans, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",30/09/2015,"Brussels, Belgium",EESC opinion of Prof. Schlüter. on the principles for effective and reliable welfare provision systems (SOC/520),Bundesarbeitsgemeinschaft der Freien Wohlfahrtspflege e.V. (BAGFW),FALSE,,,
1,"Günther Oettinger, Commissioner",Digital Economy and Society,17/02/2016,Brussels,mHealth,Bundesärztekammer (BAEK),TRUE,,,
2,"Annika Nowak, Cabinet member of Vytenis Andriukaitis;Vytenis Andriukaitis, Commissioner",Health & Food Safety,8/01/2016,Brussels,E-health,Bundesärztekammer (BAEK),TRUE,,,
1,"Anthony Whelan, Cabinet member of Ursula von der Leyen",President,28/07/2020,Brussels (video conference),Digital issues,Bundesdruckerei GmbH,FALSE,,,
2,"Vivian Loonela, Cabinet member of Andrus Ansip;Maximilian Strotmann, Cabinet member of Andrus Ansip",Digital Single Market,6/03/2018,Brussels,"eGovernment, cybersecurity",Bundesdruckerei GmbH,FALSE,,,
3,"Maximilian Strotmann, Cabinet member of Andrus Ansip",Digital Single Market,9/10/2017,Brussels,"eIDAS regulation, trust services, cybersecurity",Bundesdruckerei GmbH,FALSE,,,
4,"Carl-Christian Buhr, Cabinet member of Mariya Gabriel",Digital Economy and Society,20/09/2017,Brussels,Cybersecurity,Bundesdruckerei GmbH,FALSE,,,
5,"Carl-Christian Buhr, Cabinet member of Mariya Gabriel",Digital Economy and Society,20/09/2017,Brussels,Cybersecurity,Bundesdruckerei GmbH,FALSE,,,
1,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",5/09/2019,Brussels,Medical Devices (Mr Bermig attended the meeting organized by Commissioner Oettinger),Bundesinnungsverband für Orthopädie-Technik (BIV-OT),TRUE,,,
1,"Yvon Slingenberg, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,15/09/2015,Brussels,The implementation of the Energy Efficiency Directive,Bundestierärztekammer e.V. (BTK),FALSE,,,
1,"Margaritis Schinas, Vice-President;Maria Luisa Llano Cardenal, Cabinet member of Margaritis Schinas",Promoting the European Way of Life,30/11/2020,Online,Future of Medicines,Bundesverband der Arzneimittel-Hersteller e.V. (BAH),TRUE,,,
1,"Kurt Vandenberghe, Cabinet member of Ursula von der Leyen",President,26/02/2021,Brussels (VTC),Sustainable product policy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
2,"Florika Fink-Hooijer, Director-General",Director-General of Environment (ENV),5/02/2021,Video meeting,introductory meeting,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
3,"Valdis Dombrovskis , Executive Vice-President",An Economy that Works for People,25/11/2020,virtual,- Trade policy review - Trade relations with the US and China - COVid-19 impact on industry and new industrial strategy,Bundesverband der Deutschen Industrie e.V. (BDI),TRUE,,,
4,"Lucia Caudet, Cabinet member of Thierry Breton;Thierry Breton, Commissioner",Internal Market,10/11/2020,Videoconference,Digital Sovereignty of Europe,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
5,"Lucia Caudet, Cabinet member of Thierry Breton",Internal Market,10/11/2020,Videoconference,Industrial and digital policy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
6,"Renate Nikolay, Cabinet member of Věra Jourová",Values and Transparency,21/10/2020,videoconference,Digital agenda,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
7,"Michael Hager, Cabinet member of Valdis Dombrovskis",An Economy that Works for People,14/10/2020,Video conferencing,"Trade policy, Industrial strategy",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
8,"Kerstin Jorna, Director-General","Director-General of Internal Market, Industry, Entrepreneurship and SMEs(GROW)",30/09/2020,Brussels - online,Discuss with BDI Director to exchange views on Economic Recovery (esp. Internal Market) and Implementation of the Industrial Strategy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
9,"Didier Reynders, Commissioner;Lucrezia Busa, Cabinet member of Didier Reynders",Justice,29/09/2020,video conference,"Sustainable corporate governance, data protection and Artificial Intelligence",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
10,"Sabine Weyand, Director-General",Director-General of Trade(TRADE),23/09/2020,Brussels,Trade Defence,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
11,"Frans Timmermans, Executive Vice-President",European Green Deal,16/09/2020,Brussels - videoconference,Current challenges of climate policy and the European Green Deal,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
12,"Lesia Radelicki, Cabinet member of Helena Dalli",Equality,10/09/2020,Bruxelles,Best practices - gender equality,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
13,"Helena Dalli, Commissioner",Equality,10/09/2020,Videconference,Women on Boards; Gender Pay Gap,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
14,"Valere Moutarlier, Cabinet member of Thierry Breton;Fabrice Comptour, Cabinet member of Thierry Breton",Internal Market,9/09/2020,videoconference,Exchange of views in the context of the preparation of the DSA,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
15,"Frans Timmermans, Executive Vice-President",European Green Deal,15/06/2020,Brussels - videoconference,"Fresh start for climate policy on the Green Deal + Recovery Covid 19 crisis, including in the areas of mobility and logistics",Bundesverband der Deutschen Industrie e.V. (BDI),TRUE,,,
16,"Jean-Eric Paquet, Director-General",Director-General of Research and Innovation(RTD),10/06/2020,Brussels,European research and innovation policy - EU Commission’s policy priorities for the legislative period of 2019 – 2024,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
17,"Frans Timmermans, Executive Vice-President",European Green Deal,30/04/2020,Brussels - videoconference,Impact of COVID- 19 on industry. Economic recovery based on Green Deal.,Bundesverband der Deutschen Industrie e.V. (BDI),TRUE,,,
18,"Daniel Calleja Crespo, Director-General",Director-General of Environment (ENV),21/04/2020,Brussels,Corona pandemic and its effects on the Green Deal,Bundesverband der Deutschen Industrie e.V. (BDI),TRUE,,,
19,"Sofja Ribkina, Cabinet member of Valdis Dombrovskis",An Economy that Works for People,4/03/2020,Brussels,Sustainable Europe Investment Plan; Taxonomy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
20,"Henrik Hololei, Director-General",Director-General of Mobility and Transport(MOVE),14/02/2020,"Brussls, Belgium",Future EU Transport Policy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
21,"Geneviève Tuts, Cabinet member of Didier Reynders",Justice,21/01/2020,Brussels,Commissioner Reynders' priorities,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
22,"Anthony Whelan, Cabinet member of Ursula von der Leyen",President,21/01/2020,"Brussels, Belgium","5G, artificial intelligence, secure data",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
23,"Roberto Viola, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",21/01/2020,Brussels,"Challenges facing new Commission, AI, Digital Soverignty, Connectivity & Cloud",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
24,"Anouk Faber, Cabinet member of Nicolas Schmit;Nicolas Schmit, Commissioner;Christoph Nerlich, Cabinet member of Nicolas Schmit",Jobs and Social Rights,17/01/2020,Berlin,European Industry,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
25,"Diederik Samsom, Cabinet member of Frans Timmermans;Stefanie Hiesinger, Cabinet member of Frans Timmermans",European Green Deal,9/01/2020,Brussels,European Green Deal and Industry,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
26,"Sabine Weyand, Director-General",Director-General of Trade(TRADE),9/10/2019,Brussels,Current trade agenda,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
27,"Michel Barnier, Director-General",Head of Task Force of Task Force for Relations with the United Kingdom (UKTF),23/09/2019,"Berlin, Germany",Meeting with the Task Force for the Preparation and Conduct of the Negotiations with the United Kingdom under Article 50 TEU,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
28,"Günther Oettinger, Commissioner",Budget & Human Resources,21/06/2019,Berlin,Industrial Strategy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
29,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",3/06/2019,BERLIN,European Industry strategy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
30,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",3/06/2019,Berlin,European Industry Strategy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
31,"Roberto Viola, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",5/04/2019,Berlin,Exposure of 5G Infrastructure,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
32,"Christian Burgsmueller, Cabinet member of Cecilia Malmström",Trade,6/02/2019,Brussels,"EU- US trade, China trade policy & WTO reform",Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
33,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",31/01/2019,BERL,BDI position paper on China,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
34,"Martin Selmayr, Director-General",Secretary-General of Secretariat- General(SG),25/01/2019,"Brussels, Belgium",Discussion on the development of harmonised European standards.,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
35,"Annika Nowak, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,26/11/2018,Brussels,"Competitiveness of pharmaceutical sector, HTA",Bundesverband der Deutschen Industrie e.V. (BDI),TRUE,,,
36,"Martin Selmayr, Director-General",Secretary-General of Secretariat- General(SG),6/11/2018,"Brussels, Belgium",Panel discussion on the development of harmonised European standards,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
37,"Johannes Laitenberger, Director-General",Director-General of Competition (COMP),5/11/2018,"Brussels, Belgium",Gedankenaustausch zum Thema EU- Beihilferecht und Handelspolitik,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
38,"Keith Sequeira, Cabinet member of Carlos Moedas","Research, Science and Innovation",19/09/2018,Brussels,Horizon Europe,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
39,"Michael Hager, Cabinet member of Günther Oettinger",Budget & Human Resources,14/09/2018,Berlin,MFF and digital,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
40,"Roberto Viola, Director-General","Director-General of Communications Networks, Content and Technology (CONNECT)",14/09/2018,Berlin,MFF & Digital,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
41,"Michael Hager, Cabinet member of Günther Oettinger",Budget & Human Resources,13/06/2018,Brussels,MFF,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
42,"Miguel Ceballos Baron, Cabinet member of Cecilia Malmström",Trade,27/03/2018,Brussels,EU-China trade relations,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
43,"Renate Nikolay, Cabinet member of Věra Jourová;Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",14/03/2018,"Brussels, Belgium",New deal for consumers,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
44,"Joachim Balke, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,19/02/2018,Brussels,Market design,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
45,"Joachim Balke, Cabinet member of Miguel Arias Cañete",Climate Action & Energy,19/02/2018,Brussels,Energy and Climate policy,Bundesverband der Deutschen Industrie e.V. (BDI),FALSE,,,
